callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1 ,altitude_1,latitude_2,longitude_2,altitude_2
RSD992,nan,14f10b,RA-61707,A148,nan,nan,2022-02-01 04:40:06+00:00,2022-02-01 07:06:27+00:00,2022-02-01 00:00:00+00:00,55.44455318127648,67.40747451782227,9753.6,51.01482843948622,45.62362670898438,9776.46
4605,nan,1506be,RA-67262,DH8D,nan,UHSH,2022-02-01 05:00:27+00:00,2022-02-01 05:46:21+00:00,2022-02-01 00:00:00+00:00,52.16326904296875,140.3341674804688,7620.0,53.51339721679688,142.892813546317,129.54
SDM6293,nan,155c2d,nan,nan,UUEE,nan,2022-02-01 05:04:16+00:00,2022-02-01 06:25:27+00:00,2022-02-01 00:00:00+00:00,55.96961975097656,37.38597523082386,304.8,54.67914128707627,52.61860240589488,10668.0
SDM6231,nan,155c36,nan,nan,ULLI,UWWW,2022-02-01 05:09:39+00:00,2022-02-01 07:03:40+00:00,2022-02-01 00:00:00+00:00,59.80453491210938,30.28005981445312,304.8,53.67672729492188,50.01502336774554,1226.82
RWZ1033,nan,155c32,nan,nan,nan,UWWW,2022-02-01 05:11:02+00:00,2022-02-01 06:17:14+00:00,2022-02-01 00:00:00+00:00,56.64436340332031,60.70727348327637,2438.4,53.73473603846663,50.33063103170956,2118.36
TUL9742,nan,1506a9,RA-67241,GL6T,UUWW,nan,2022-02-01 05:20:54+00:00,2022-02-01 06:26:29+00:00,2022-02-01 00:00:00+00:00,55.5746201337394,37.2077751159668,914.4,55.82292977025953,51.48013114929199,3634.74
SSF151,D2151,155c1e,nan,nan,nan,UUEE,2022-02-01 05:33:17+00:00,2022-02-01 05:45:12+00:00,2022-02-01 00:00:00+00:00,56.70472225900424,37.59255686113912,3657.6,55.98381430415784,37.49796867370605,571.5
RWZ783,nan,155c60,nan,nan,ULLI,nan,2022-02-01 05:34:33+00:00,2022-02-01 07:11:44+00:00,2022-02-01 00:00:00+00:00,59.8037109375,30.28582763671875,304.8,52.42596642445709,45.32833426339286,6568.440000000001
SDM6109,nan,155c3c,nan,nan,ULLI,nan,2022-02-01 05:36:39+00:00,2022-02-01 06:41:59+00:00,2022-02-01 00:00:00+00:00,59.80352783203125,30.28628540039062,0.0,54.12456447795286,38.78084968118107,10668.0
AZO201,nan,155c30,nan,nan,nan,UUWW,2022-02-01 05:46:04+00:00,2022-02-01 06:13:07+00:00,2022-02-01 00:00:00+00:00,53.44164314916578,37.61516795438879,10363.2,55.61814880371094,37.3798994584517,731.52
SDM6465,nan,155c24,nan,nan,UUEE,nan,2022-02-01 05:47:15+00:00,2022-02-01 06:08:55+00:00,2022-02-01 00:00:00+00:00,55.97030639648438,37.39130193536931,304.8,54.07626342773438,37.92676653180804,9448.8
LLM174,YC174,155bfe,nan,nan,nan,UUDD,2022-02-01 05:49:05+00:00,2022-02-01 08:07:08+00:00,2022-02-01 00:00:00+00:00,64.807325460143,61.8914794921875,10363.2,55.25555419921875,38.18451825310202,1440.18
SDM6303,nan,155c57,nan,nan,ULLI,nan,2022-02-01 05:50:34+00:00,2022-02-01 06:22:53+00:00,2022-02-01 00:00:00+00:00,59.80036926269531,30.308349609375,304.8,62.32953605005297,34.95765099158654,9448.8
RWZ1069,nan,155c22,nan,nan,USSS,UWKD,2022-02-01 05:51:00+00:00,2022-02-01 07:02:27+00:00,2022-02-01 00:00:00+00:00,56.74261578058792,60.89695099861391,914.4,55.62126547603284,48.92460823059082,1783.08
LLM877,YC877,155c04,nan,nan,nan,ULLI,2022-02-01 05:54:43+00:00,2022-02-01 08:09:06+00:00,2022-02-01 00:00:00+00:00,64.82611083984375,61.77908935546875,10972.8,59.80393981933594,30.191162109375,289.56
AZV9708,nan,151d45,nan,nan,UIII,UUWW,2022-02-01 06:00:19+00:00,2022-02-01 11:59:49+00:00,2022-02-01 00:00:00+00:00,52.27113368147511,104.3796909877232,304.8,55.65234375,37.30798894708806,670.5600000000001
IAE742,nan,155bf6,RA-89078,SU95,nan,ULLI,2022-02-01 06:05:17+00:00,2022-02-01 07:23:41+00:00,2022-02-01 00:00:00+00:00,54.12171936035156,40.95138113839286,10363.2,59.81287552138506,30.22452518857759,266.7
SDM6067,nan,155be1,RA-89057,SU95,UUEE,nan,2022-02-01 06:07:10+00:00,2022-02-01 06:27:54+00:00,2022-02-01 00:00:00+00:00,55.96817275225106,37.37943649291992,609.6,54.22160339355469,38.35515485491072,10668.0
RSD052,nan,141e16,nan,nan,nan,URKA,2022-02-01 06:22:24+00:00,2022-02-01 14:49:04+00:00,2022-02-01 00:00:00+00:00,55.38952843617584,37.33928333629261,304.8,44.97486179157839,37.43738686166159,289.56
SDM6405,nan,155c1a,nan,nan,UUEE,nan,2022-02-01 06:22:54+00:00,2022-02-01 07:41:08+00:00,2022-02-01 00:00:00+00:00,55.96998596191406,37.38863858309659,304.8,61.49327087402344,50.13385227748326,2400.3
RSD076,nan,14fc09,RA-64521,T214,UUWW,nan,2022-02-01 06:24:15+00:00,2022-02-01 07:23:43+00:00,2022-02-01 00:00:00+00:00,55.56489071603549,37.18477249145508,1219.2,53.91352844238281,47.39658900669643,3398.52
